,pc_1,pc_2,pc_3,pc_4,pc_5
93,14.665296,2.7029943,0.13503279,-1.4718921,-3.490648
18377,-7.942828,3.4598436,-8.132634,3.4197936,-2.1682887
18272,11.941503,4.75973,-7.131474,-0.88083017,-4.5503554
18248,-3.0130382,-3.0962143,-3.0026677,1.8011012,-2.638528
18345,1.8438934,-4.3694925,4.4276686,15.8517,-4.848005
18305,14.624116,1.8462698,0.5697612,-2.2561574,-2.5809298
18359,-8.872146,5.2866926,-10.152442,-1.8157965,-3.6909537
18107,-3.9645252,1.4655747,0.9118269,0.7335673,-0.7224328
19591,-11.331238,19.120588,1.0693842,-1.4202293,2.2051048
19195,-3.3685513,-3.4656305,2.900232,-1.8061507,9.368196
19133,-6.8434954,-0.106576845,-5.6417146,-2.1747432,0.1954025
19347,-6.385732,7.976554,4.5279903,3.6923187,3.2271137
19642,-6.2868867,-5.0905967,-1.0846503,-1.290723,8.365132
19574,-12.606076,18.718025,0.96699184,0.95177364,0.09261185
19540,-5.9902663,-3.6432245,3.0572352,-0.611415,3.304029
11134,-8.4494705,2.3156924,2.8870788,-3.3111715,-5.3554773
11517,-5.155534,-7.9561954,-2.3998237,0.06972736,6.275769
10901,-6.305664,-6.689605,-8.70453,-0.116580926,1.6551785
10921,13.48535,3.0083523,8.276497,-5.0381527,1.0355856
11425,-5.792531,-4.9263573,7.1234574,-5.7978272,-0.6528705
11248,-6.3221517,-6.233478,1.0235746,-2.6040545,5.8439784
11544,-6.86878,-4.7772355,-3.255507,-1.4633689,-6.078165
11078,-1.476744,-1.0278202,0.22246319,2.3561316,3.7214744
11278,-6.5743356,0.18939944,-2.4603324,0.4913379,-4.2121787
11062,-7.473275,5.3787303,0.4486555,-1.3900383,-7.787825
11357,-2.869615,-5.454371,4.6226683,-1.1690888,0.89584017
11417,-6.403234,-1.7588478,-2.4991703,-1.8288481,7.7705584
10941,-6.0611715,-2.7299275,-3.9247854,-3.4282734,-3.6269867
11233,14.119677,0.5826474,1.3981166,-2.1184704,4.0188193
13590,-3.9494216,3.0224106,12.43842,-4.368889,-4.600123
13539,-4.7276745,1.6517545,-4.01119,1.9348767,-3.2749379
13449,-6.224427,-4.009137,1.786597,-5.341611,6.843667
13645,-3.1625075,1.5003252,2.4517567,3.837762,3.2622054
13466,-4.4160333,-2.6039429,10.460696,-5.6985736,-5.0646815
13728,-4.527734,-6.4075427,6.0693846,-3.7683582,1.0012888
13805,14.163993,1.186866,-1.8348566,-1.3569937,0.010477399
13654,11.183305,9.226051,-2.6502414,-1.0645558,0.42301548
13613,-6.259624,-5.3442388,0.48469004,-1.8367845,3.2610986
13432,-4.4334555,-4.421263,1.9411131,-4.468833,0.39787704
13565,-5.531944,2.1365614,0.49948403,-0.19302191,1.6766636
13668,13.081437,2.1549664,-7.543146,-1.1301069,0.92974705
13498,-11.759851,18.79489,1.396111,1.1037427,0.928593
13635,-3.0509229,-4.3039,-5.956983,-1.5493132,0.9103912
13758,-3.0882652,-2.2409902,2.0577104,-1.1346822,6.569774
13743,-8.230529,-0.79866976,4.732132,-7.5076857,-6.632979
13679,-4.3122168,-4.188621,-2.103984,-3.460306,-1.2361273
13661,-11.35271,18.72194,1.3506411,-0.9464654,2.4627943
13789,-8.734598,1.4542317,2.504917,-2.9072697,0.2187131
13415,12.805616,3.4726214,-6.9399543,-0.99031067,-5.263661
13602,11.106265,9.614664,-0.020821337,-1.9134922,-3.9317336
13734,-3.7700877,-2.5619764,5.157407,-4.655541,-8.945677
15702,-8.041471,7.0119534,3.8202856,-1.114357,0.1475674
15199,13.909781,0.3436326,-8.113768,0.061117847,-0.47222832
16193,-4.456002,10.299086,1.4954702,2.5450792,0.8203826
16135,-8.893157,4.4139175,13.26511,-7.9389596,-4.010713
15348,-1.4126333,-0.80056226,3.4238617,0.73261243,3.9425402
15945,15.068378,0.06842815,-0.6379771,-2.6456964,-7.6116204
14446,2.3890388,-5.411328,2.0891802,16.03999,-3.3279607
13982,-4.0634546,-3.7991838,1.0467997,-5.4845324,0.124535
15607,-11.211804,19.483067,1.7552887,0.7627008,3.618692
15768,15.877026,-1.3363677,4.9438114,-3.7766001,-0.5851819
15671,-9.149417,19.944763,1.2907357,1.8397894,2.2712808
15240,-7.159157,2.0344489,-6.2338185,1.0611879,-2.5025878
13810,-4.8107224,2.6681094,12.390861,-4.295335,-6.705994
13932,-9.985307,4.2647886,-9.712977,-0.010725407,-5.668241
15276,-4.7252045,-3.3922412,-7.5649357,0.34522247,-0.5585716
13853,-10.135428,19.18521,2.4512663,3.0195208,3.348309
15825,-6.1298003,1.0298214,1.4142116,-3.8723173,-4.9517403
15600,-8.241628,20.082006,2.0656486,4.0898213,2.5405676
16004,-4.753861,-1.2610767,-0.039180562,-4.551024,-4.025432
16065,-10.781846,18.7423,2.3994584,3.7826197,4.715294
10113,-0.07085184,-2.505223,8.767624,-0.4854042,5.9992003
10124,15.341476,1.058439,3.0863004,-2.021271,-0.72234094
10137,14.977894,-0.82519037,-0.7076117,-2.573368,-0.8806143
10168,-0.0869676,-1.7286263,3.3030486,1.7578465,0.19765845
10150,15.463435,2.5907984,7.592367,-2.849792,-0.98502344
10186,2.514615,-0.97571903,2.0424469,-1.3076943,1.070152
10220,16.011812,-1.418669,1.2876427,-1.1044097,1.7929174
14361,-5.9709115,-3.0072858,2.5149024,-5.1323924,0.999093
15365,-12.173031,19.27352,1.7268579,0.92686594,3.5214984
14897,-5.680031,-5.6096153,0.4413288,-2.6483338,6.627682
15865,-7.4543347,20.67924,2.031296,4.2334094,2.8169847
15446,13.971998,-0.0036188753,-4.263032,-2.8773177,-2.4522538
15210,-8.87723,20.449135,1.3005515,2.2129874,2.9124277
15478,-2.3623645,-3.132278,-0.8103459,10.176102,-0.56560385
13902,-5.23224,-3.3412924,-7.3205614,1.9505031,-1.9257089
14235,12.03752,6.758255,-6.496648,-0.9422034,-5.153875
14261,15.24412,1.0939488,1.1201086,-2.3264031,-3.137596
15856,-11.652362,18.67206,1.952041,1.3323188,2.6406739
13825,-3.852407,0.21738218,5.148863,-1.0069687,4.1572347
16103,-9.789589,0.21089396,-5.5800366,-0.523451,-3.2517257
14730,-6.8974504,-2.83881,8.236427,-4.475724,-1.2282271
15846,-12.161436,19.931353,1.1700814,-1.4569274,3.5189183
13890,-5.8796673,6.789197,0.67804754,0.4178029,1.5392084
16020,-14.461843,18.020716,1.0943433,-0.77169615,2.0020866
14461,-7.67639,0.27013284,2.6152132,0.457093,3.6993964
15542,-6.2528205,-2.0060518,-3.4018285,0.07099541,3.4519868
15836,14.684805,1.4884043,-0.7268769,-1.7080858,1.9924608
15585,-5.4166403,-1.4597099,-3.1211672,0.8409763,4.350173
14434,15.368857,0.6746751,7.811383,-4.7847323,-2.116242
13991,-2.3166695,-3.1597207,0.2730579,1.7534391,3.8350031
14177,-3.5226326,-6.465221,4.6883287,-6.267051,-0.020403663
14828,-6.3611646,-1.8823438,-0.34139434,0.09788455,3.5012004
15258,14.407514,2.2774262,-4.082,-0.58947295,-2.1980715
15717,-9.520615,20.167118,1.81464,1.2530577,4.1439743
15934,-1.3880681,-4.755837,-0.9255994,0.25722396,3.7640595
15792,-9.459462,1.9519238,-9.36344,-0.3682508,-4.7309017
15655,-0.102460146,-1.6482103,1.3519968,18.15063,2.6648827
15508,-6.7970037,0.28971586,-6.6845417,-1.8223735,-2.147919
15532,-6.1748757,-7.346238,-4.971976,-1.7070618,2.86683
14285,-6.460453,-1.369224,-8.96159,1.8709121,-4.3737082
14803,-3.0564783,-5.3974924,-0.06604549,3.2785892,5.121695
15732,-6.1042256,0.22248979,-5.568253,-0.8518719,1.0859091
14307,-3.8892152,1.2516444,8.906112,-3.74351,-8.19175
14547,-4.889422,-0.85034776,7.35476,-3.5894518,-5.1236076
14666,-10.3621855,18.918991,1.7089174,1.8262784,1.2868292
15687,-6.228116,-1.1839939,-6.795262,-2.0351834,-1.4628808
16125,-4.2724032,1.4287118,2.5115874,2.249787,-9.0631275
15180,-6.364971,-2.6924255,-0.7307384,-1.9455748,1.8186944
14947,12.06679,5.519917,-5.0521383,0.06397153,0.22151689
14079,-3.6963794,-4.5167923,5.101459,-3.4107656,1.5897781
14478,-5.07308,-4.8819366,-3.854797,-2.9387896,5.5342784
14594,-4.5043607,-2.314473,-2.6196015,1.4427965,-4.917543
15125,13.405466,2.2233353,-4.849132,-0.1733149,-1.943202
14335,-5.9121227,-5.7940264,3.6489952,-6.0579004,2.677133
16035,-6.67965,-2.2146983,1.2137086,-2.0562024,6.1620865
13959,-7.2444606,-3.1439884,-8.108361,1.0914567,-2.6327102
14113,13.617859,3.04531,-2.1227276,-1.3420082,4.2088184
13749,-1.8250955,-3.842575,0.57497936,4.6158586,6.161262
14993,-5.0649824,-2.3361485,-0.059976723,0.9898536,2.473969
14638,11.198117,7.715045,-0.600606,-1.0117687,4.391124
15398,-9.101109,1.6649076,-7.2163916,-2.0713408,-3.5392501
14747,-4.680546,-5.278545,0.22921124,-1.1091437,7.068549
15926,-3.7127666,-6.0574965,-0.22107685,-5.7737765,-0.7026439
1796,14.459615,-0.5787197,-4.9722834,-0.7598839,3.9986842
1770,-4.0851703,-5.661711,0.3796972,-1.0024809,6.791531
1758,-5.505046,0.49948806,-2.9091368,2.792237,0.8767367
1823,0.22208816,-2.0827107,0.6785593,10.333023,3.412023
1782,12.062274,3.4560509,-8.330982,0.7471147,5.68229
1836,-4.6390314,-1.601228,1.5524161,0.3566701,3.5680218
1810,-7.7543855,-2.651093,-10.519768,-2.7082076,-3.7146084
24368,-11.664421,18.49837,2.035355,3.7956219,1.1255114
24395,-9.845845,19.544224,2.3999293,3.6726453,3.7124028
24544,14.816004,-1.5945185,-2.1428776,-1.1873043,5.7105746
24354,14.299428,-1.1443206,-2.603149,-0.4369828,7.355271
24559,-4.3382926,-3.3156059,3.890662,-7.0514936,-0.16864064
24528,-6.907823,-3.887465,-2.6997724,-3.9424682,-1.576922
24422,-10.7271,19.060242,2.4512634,4.428904,2.3567047
4454,-4.2253966,-0.26451996,4.0723305,-1.7686667,1.355175
4395,-0.6175886,-3.4216409,1.1767404,7.218052,7.6841707
4474,14.098102,0.26819304,-5.4381294,-0.3833431,1.3602237
4493,-3.933573,1.525688,0.58407086,0.048864886,-0.4489998
4512,-4.685495,-5.2770457,0.61399835,-0.68596303,-1.6574012
4351,13.682551,4.111454,-0.65373147,-1.1567026,-2.789743
4434,14.24332,0.43821713,-3.5682611,-0.0033801324,4.9624357
22245,-4.969187,-2.3405938,-1.7953324,4.183494,7.748695
22651,-6.947057,-0.9712942,-4.002132,0.13138162,4.8996415
22014,-5.148513,0.66553986,-0.36587852,-0.07378226,-4.959113
21942,-0.9984682,-5.934783,0.70552754,1.6037604,7.557364
21895,-4.2426586,-5.929614,0.88570124,-2.7684827,8.099946
22662,14.4853945,-1.8163096,-5.2225876,-0.5978545,4.1466846
22233,11.7330475,5.8502145,-8.518615,-0.77316403,-2.343759
23036,12.142391,5.856808,-0.09914601,-0.9352102,4.7679496
23087,-5.327563,-4.2126746,2.7618492,-3.3874557,-6.4818306
21957,-5.8575587,-3.0158877,-0.8838853,-3.800322,-4.3213816
22154,-6.327697,-4.60273,0.98523283,-2.8431623,6.2629266
22239,0.4619426,-2.0565617,-5.4055433,9.832368,-7.9258842
22056,-9.563923,19.564121,2.5066104,5.5604877,1.0062801
22613,12.770615,3.1410985,-6.833926,-1.33157,-2.4055827
22918,-4.05324,-4.2317863,-1.5912163,-0.91734016,-0.0823458
23009,13.640749,3.0468526,0.37335053,-3.7723641,-6.621789
21933,-7.029758,2.64641,0.24638624,0.03593418,-4.4459457
22543,-6.921758,-4.6083436,-4.6282196,-6.100806,-0.8543596
22423,-6.721386,-1.7032871,0.9886397,-3.4854767,-0.99910605
22351,-1.0627929,-4.8063855,-1.2343943,0.9717551,-5.179877
22861,-4.8436365,-1.8162779,-2.37811,-3.2201738,7.087828
22070,-7.191279,-2.5038905,-2.5145495,-1.8923756,-5.2513857
22805,-12.261096,18.98603,1.076497,1.006036,1.1207532
23183,2.4140866,6.4314537,-1.2511533,3.195969,-2.2460878
22254,-7.6318407,-2.1389534,0.87235105,0.80027837,6.1324854
22140,-8.767892,-0.98008287,-8.058973,-2.8673337,-6.6625814
21877,-0.43168044,-0.83252144,-1.8657197,9.933788,-4.558884
22885,-10.95345,3.4759445,-8.887064,-2.345822,-4.515516
22112,12.006764,6.491075,-4.7322135,-1.1630975,-3.3176806
21971,-3.9990761,-0.88526297,-1.39822,1.2761313,6.693647
23194,-2.161899,-3.8205066,3.533937,2.3776522,7.888506
22632,13.23047,1.1246518,-7.9760046,-1.1268647,-6.6592593
22302,-6.6631246,-7.315695,5.2012606,-5.616789,6.163819
22316,-5.564439,-7.056853,-1.7104944,-3.865683,4.709498
21985,14.321785,2.2455418,3.9822588,-2.9461098,-0.3066423
22517,-5.8136535,-3.497245,-6.0341163,-3.879138,-4.7220993
23171,12.052257,8.539571,8.941772,-5.5319395,-5.7947235
22333,-3.868754,-1.7269725,-7.117592,0.47916302,-0.2094735
22167,-7.5648255,0.35018098,-8.910702,-1.7268157,-3.0055406
22028,-3.3801126,-7.2611084,4.6192837,-1.2589889,6.742632
22897,-8.586009,1.9528567,-8.967037,0.054357767,-3.7309968
22098,5.056691,-1.5563911,-5.3978214,2.3665407,-0.07151566
22440,-7.607071,-1.2006295,-4.087133,-4.3376727,5.279623
23070,-7.374514,-0.3855812,2.5014303,-1.9071761,-3.5220916
22288,-6.289119,-7.467984,-6.440128,-5.3261285,-2.0633974
22405,12.692689,6.6355643,-1.4672842,-0.8079888,-3.9550219
22833,-6.5643706,1.9508152,-8.346749,-2.1243777,-5.7257733
22042,-6.6199694,2.8488154,-4.536695,4.24005,-1.7057407
23132,15.015929,-1.0363926,-1.826418,-2.4130604,-0.9240861
22988,-6.738968,1.2563881,2.4798074,-4.289662,-5.201488
22692,-5.5386252,3.1960404,-0.7053185,1.3561567,0.054236237
22847,-3.5407534,-3.073987,2.9716697,-3.6757064,-7.1306105
22909,13.814072,2.3321414,-4.368352,-1.026121,-2.8926592
22819,12.255731,4.314549,-10.057044,-0.2221804,-4.2617083
22387,-5.1345973,-1.7465036,-6.9317684,-1.7972419,-4.4497404
22503,-10.779514,18.472616,2.1892545,2.0371678,2.688355
22227,-7.5805087,-5.950596,-0.5112296,-3.8672228,5.675401
22727,-7.9565973,-2.9807057,-4.098835,-3.4444447,0.34585547
22873,-8.023685,4.2409797,1.7291255,-0.4858923,1.0976309
22625,-8.346469,-0.31742275,-6.838358,-3.6645563,-9.246618
21905,-12.754518,18.546812,2.1335995,2.099745,2.1377563
21924,-7.541421,-2.0117106,-2.8915234,-3.5959394,-0.29667908
23102,-3.8523483,-1.612284,-5.7914357,2.5846782,-0.010726675
23831,-5.387581,-2.6593893,-8.002206,0.63779473,-8.0878105
24172,-1.8545988,-6.163804,6.443761,2.4643483,1.919702
23647,-3.6369994,-1.7802504,-5.2549357,3.2882147,-0.97980934
23652,-6.38025,-5.4496846,-0.21464701,-4.2623115,-9.5796585
24232,-7.588653,0.69027716,-4.3758407,-1.9184349,5.269846
23728,-4.337158,1.3868033,3.7395308,1.0099249,-4.3998084
23869,-3.5990486,-3.2948627,-3.1304674,1.4392073,-7.6384454
6183,15.006311,-0.42144296,-1.9874848,-1.2426666,0.019349335
6536,12.858172,2.2270257,-8.520886,-1.5207537,-7.2014346
6483,12.197999,3.567118,-10.53365,-1.2904154,-5.6121783
5602,-9.063315,0.6738744,-10.689403,0.15078714,-2.2163012
6088,-4.4647737,-4.0292363,-6.1876693,-0.41666907,-0.82487845
6074,-4.092575,4.4502583,-2.2252133,-0.42600682,-3.5403328
6802,13.693512,0.7158227,-7.162169,-1.322935,-7.230726
23967,-3.7810822,0.3381367,10.828811,-1.1155988,0.24748622
23803,-8.275585,3.3334768,-8.633331,-0.3942993,-3.2698703
23817,13.46718,4.727325,0.6294606,-1.7796017,-4.747505
23682,14.774432,0.107009344,2.312326,-1.9469916,4.536698
24246,-5.303133,0.6827775,0.04363079,1.2537833,-2.5837164
23981,-8.439931,5.171536,0.54297304,-0.07886963,-7.964983
24274,14.593947,1.0062565,-2.7893302,-0.85880774,-4.2607403
23691,14.766199,0.25863823,3.8062935,-2.7633505,-0.68964577
24285,-6.134561,-7.3759875,2.3480372,-1.8186886,6.1388106
23773,-3.3185756,8.108928,4.6679144,3.3107376,-1.096882
23844,-12.265736,19.271172,1.1888491,-0.72756606,2.2436569
23758,-2.3070922,-1.5633627,-3.5452487,0.26776174,-7.2441373
23743,-2.1418855,3.709299,3.3419328,3.4149456,7.2138786
23857,-9.49026,19.438244,1.9751629,3.7004209,5.049211
23998,-0.89632154,-3.5001233,5.3940887,-0.020958474,0.5252999
24103,-6.806586,0.6222298,1.6215432,-2.225919,-2.7998993
23715,-5.8348045,-2.2589555,-3.9039526,0.44786438,4.9857407
24121,-5.3746104,-3.043796,-0.02011072,-4.56743,-8.253456
23668,0.35461354,0.13296454,-0.8648377,17.807201,-9.45143
24218,-2.992487,-4.8664823,4.2800364,1.5522965,-1.2442691
24188,-3.9387896,-0.37534934,4.1559577,0.09606918,3.5713577
24021,1.9501402,-2.3682003,1.3205353,3.6325645,6.485441
23675,2.5148149,-4.1538057,4.6953754,17.290014,-2.112772
23974,-2.5800116,-1.9115534,1.0643961,2.431475,7.0158663
23656,-2.6365116,0.97280437,-0.3969569,1.0415089,-1.7265321
23788,-0.5573464,-4.3841033,1.1587746,5.174711,3.4629917
23989,-5.6969934,9.4987755,1.7969128,2.7011998,0.22655949
24007,14.053303,3.605825,6.5202155,-3.7907329,-3.2836502
23960,-6.6702104,-5.1954536,-0.084986456,-3.7291996,0.07529774
24085,-4.4648046,-3.341618,1.9129827,3.5975778,8.556177
24139,-9.712333,2.6954176,-6.265441,-2.0471196,-2.9265032
24156,-5.714931,-5.2110157,2.0762913,-0.4943999,-5.4038825
24204,-6.027575,-1.2872279,4.324392,-2.4927528,2.884317
23649,13.515577,3.7769284,-2.1014361,-1.1270411,2.5938795
24260,-6.8107176,5.6319304,-2.7374258,2.562734,-1.3496838
21023,-3.3463447,-0.8217206,-0.5828264,2.0976067,-5.582364
21006,14.67146,0.2509325,-1.6737102,-0.9482936,0.0014289411
21101,-7.7642236,0.8048345,-10.123573,-0.47583926,-4.8837037
21222,13.392119,1.7522238,-6.189907,-0.005277831,2.1332893
21178,13.994962,1.2892058,-3.2614498,-1.0246434,2.7383811
21008,13.088968,3.1343217,-3.9862208,-0.6634164,3.115154
21189,-8.666392,1.3170536,-10.382958,-4.596114,-4.19566
13662,14.023727,0.057063818,-8.825627,0.37361667,2.3402624
13383,-1.4815493,-3.9065979,4.9952726,-1.1981689,1.1620204
13434,-5.591857,3.4714174,2.4189575,3.8572304,-1.3585258
13367,-5.729507,-1.919051,-5.7632985,2.9393504,4.1522236
13451,-6.5546823,1.2541366,4.066954,0.35174033,2.486674
13417,-4.751747,-6.8276114,-1.9198225,0.3649378,9.790641
13722,-6.6669765,-1.6987486,2.1509683,-0.2537198,7.5989084
13075,11.2564,7.2257614,-8.778304,-0.31918243,-3.361772
13256,-4.4373765,-3.9643474,-0.44299245,-1.4782947,-2.0038016
13893,13.544712,2.5416718,-1.6187958,-0.37581632,4.5222764
13737,13.743161,1.9453789,4.4467316,-3.9183822,4.049163
13915,0.21043307,-0.39192826,-0.7794352,2.9335198,5.6472898
13553,-10.359955,19.46789,1.5447754,3.96972,-0.24293056
13484,-0.54416007,-3.4912884,4.141866,-1.8466046,8.968833
13614,13.143684,5.348822,-4.916675,-0.4913879,-1.8738874
13625,-6.8750553,1.0153009,0.5107435,-2.1524253,2.546532
13798,-2.7925036,-0.06437017,3.2579753,-0.57491606,5.5113273
13235,-3.7331777,-2.639225,-0.7549245,-1.6178793,7.975158
13059,-5.2756963,3.2974522,2.719444,5.0277467,2.5277615
13934,-10.524322,19.311314,1.6947254,2.958031,0.7646026
13782,-11.31562,18.8646,2.0077653,2.2667916,2.1829102
13767,-11.413496,1.7434753,-9.053663,-2.926048,-3.938948
13163,-6.9003906,0.16709448,3.2288084,1.6848038,7.767427
13211,11.085636,8.317307,-2.7515912,-2.1261683,-1.3774576
13925,-5.4678726,2.4842913,2.6603222,0.8162994,-1.8814223
13109,-1.3178945,0.63607645,-2.4392393,5.3793287,0.82862306
13828,-5.915281,-5.671448,2.8064969,-0.96400654,7.719005
13842,12.1730175,4.62206,0.15772508,-1.582211,7.7436533
5356,-4.76288,-6.786434,-4.920479,-0.7704736,1.904336
6944,-3.6181505,0.9994445,-8.007797,1.8829454,-5.397049
4895,13.399484,1.0574784,-7.640292,-1.2903675,-0.8029295
6203,14.409359,1.6430782,-0.13555834,-3.7281952,-5.654687
4921,-3.9675977,-7.741841,-0.92074364,-1.9119664,0.75925267
6290,14.5089245,-1.1761338,-7.148577,-1.0800711,-4.022317
6706,-0.86631954,-9.340209,3.7549918,9.176693,5.038031
13646,-8.009481,1.6916339,-7.3956428,-0.00039661076,-4.5213575
13175,-4.920973,3.937522,0.79738295,1.7080431,2.8564641
13713,13.604281,1.0462012,-2.5695798,-0.89532214,6.3606944
