,0,1,2,3,4
28,12797,The Helmet Hotel,Friendly staff. Comfy bed. Good shower. Good location.,I could try and be picky but there was really nothing to fault as we had a great stay.,10.0
29,12720,The Helmet Hotel,,The rooms smelled of cigarettes and smoke. The hotel was very unclean and not properly maintained. The depiction of hotel in pictures is a completely untrue.,3.3
30,12902,The Helmet Hotel,The location,Dirty Kettle  Nearly burned myself while having a shower as the water was boiling. I had to go to reception to fix it.  Smelly pillows/ dirty towels.  Clogged sink. Receptionist doesn't even speak French,5.0
31,12552,The Helmet Hotel,The staff are OK.,"Rooms isn't clean, WiFi very bad",3.0
32,12362,The Helmet Hotel,"The bed was very comfortable and we had a really nice view of Brussels, having Netflix in the room was great and being able to order Uber's for transport was great.",Our air con didn't work so it made the room very warm especially at night time. The area the hotel is in is a little bit dodgy so we got Uber everywhere. The shower wasn't very warm either.,8.0
33,12427,The Helmet Hotel,"the best things are the photos on booking, is far away from reality","location, cleaning, bed, bathroom",1.0
34,12129,The Helmet Hotel,"The room is cozy, clean, everything works as it should, near the tram so really convenient location with loads of other hotels, cafes and bars in the area.","You get a feeling of being in a dormitory. There were trash from food on the hallway, people having parties at 2am in the next room, no other facilities except accommodation. Ok for one night, but if you wish to stay longer find another option.",5.8
35,12850,The Helmet Hotel,I did not like anything.,"I did not like anything. It was very dirty, smelly, dodgy and I felt very unsafe at the hotel. Reality was FAR different from the photos provided, and the price performance is scandalous.",2.5
36,12373,The Helmet Hotel,Nothing,"The area it is situated, room was freezing, heard everything going on outside. Floor was soaking. Dust everywhere. Only stayed one night paid for 2. Had to find other accommodation. ",2.5
37,12562,The Helmet Hotel,"Clean room, good location, near tram, near restaurants and gare du nord station ",WiFi was not good in the room (weak signal),7.9
38,12243,The Helmet Hotel,"Nice view from seventh floor.
Very close to North trainstation ","I miss part of glass door from shower.plenty water on The floor after shower 
Many little things - dirty walls, Broken door to bathrooms. 
Neighborhood of hotel.",4.6
39,12540,The Helmet Hotel,,The room was dirty and wash basin did not work ask for repair and had to wait till morning but never fixed till check out,3.3
40,12142,The Helmet Hotel,Great beds,The room needs a deep cleaning,7.0
41,12168,The Helmet Hotel,"NETFLIX, view, comfortable bed","cold  from the closed window and from under the door. Mold in the bathroom, dirty kettle from the inside.",7.0
42,12155,The Helmet Hotel,"The room is nice, not very safe neighborhood, so if you are traveling alone it is better to get to the hotel when it is still bright outside. Nevertheless the hotel is value for money, there are breakfast places nearby, good transportation connection.",,7.0
43,12571,The Helmet Hotel,"Communicative receptionist, willing to help.
Nice view. Modern facilities - door bell, interactive ""ticket"" for cleaning. Right opposide door was a cake shop with delicious cheesecakes. Trolley/tram stop was close. Near (turkish ?) shopping street = cheap clothes. 15 minutes by walk to city centre.","The access to terrace wasnt possible, it was locked, but maybe they will lend you key at the reception. ",9.2
44,12752,The Helmet Hotel,Nothing we liked.,There is nothing to say what we didn't like. We didn't like anything in there. They called a taxi for us to go to Brussels Airport and that Taxi rip us off. We found most of the criminals are living over there.,2.9
45,12504,The Helmet Hotel,Nothing.,-no shower head -broken hand shower holder -extremely dirty bed -full of dust under bed  -full of dust on phone stand -waited 2 hours longer than the check in time - bed lamps not working - electricity not working on one bed side  - disgusting pillow cases  -toilet product smell all over the room -terrible parking place,1.0
46,12219,The Helmet Hotel,"View from that specific room was really nice! working staff was good! rooms were clean and neat! comfort bed. toiletries and electric kettle with tea/coffee option together with cups were available,.","hotel location is not central; best option for transportation is a tram (stop almost in front of the hotel),  district is not fascinating; rooms are not soundproof; also was certain ventilation noise during whole night and noise in the bathroom when you switched the light on (light and ventilation was interlinked)",5.0
47,12194,The Helmet Hotel,,"Room's 18 bathroom is unfinished. It's not acceptable to spend 90 $ per night and have a bathroom like this.
The bedroom was really cold with quite heat loss. We had to put the air conditioning on 30° C",5.0
48,12054,The Helmet Hotel,Location was perfect to get around the clubs and shops,"Customer service was poor, and they didn't have anything at what ever  you asked they didn't have kmt 
There was no heater and the electric heater wasn't working properly which leave the room cold so u ended sleeping in ur jumper etc. 
It's good thing we were out most the night not spent the time in there ",4.6
49,12441,The Helmet Hotel,"Good lactation, 10 min walk to the Brussels North train Station, next to the tram station, near by  Brabant street, every thing was Comfortable",Better to have breakfast at every morning,10.0
50,12863,The Helmet Hotel,The location was good,"First of all the cleaning of the rooms were bad, broken bathroom door and paint falling off, there was no milk or creamer kept in the room when next morning I went to ask at reception they had just 4 creamers in the entire property which means only 4 people out of 13 people which we booked had coffee..
The beds were joint when we booked a double bed. I am sure you dont want to slee in between the beds.
Also when asked for the room to be clean they said there is no staff and will do it tomorrow. I think i own a refund 
",3.8
51,12676,The Helmet Hotel,We did not like any thing in this hotel worse area very bad hotel,Everything,2.5
52,12641,The Helmet Hotel,"Good hotel, bad neighbourhood. Too much noise event a 2am",,8.8
53,12528,The Helmet Hotel,,There is no real heater - only the air conditioning,2.0
54,12061,The Helmet Hotel,"The location is not bad, it has the right price and the room is large with all the comfort.","The reception was not present at all, the cleaning service doesn't work properly, because the monitor that indicated the cleaning was broken.",6.0
55,12343,The Helmet Hotel,The location is excellent and reachable by tram to get to the destination in every 5' to planned route,"In this period of year, the road adjacent was under construction but it does not have to do with them.  I really do not get smth wrong it is fine.",10.0
56,12467,The Helmet Hotel,"It's very near from a tram. Also, to get to the center city is very near, but is recommended not to walk near the nodstation, is a ""complicated"" zone. The TV has Netflix. The warmer works very good. You can get a room with a sight of the Atomium.","The WiFi didn't work the last day I stayed, 1st January, but it works very good in the lobby. The lobby is small. Sometimes In the midnight is a bit of difficult to fall asleep because there are people yelling in the street.",8.3
57,12516,The Helmet Hotel,"Great location, 25 minutes by foot to the city center.","Room wasn't clean and it was very very cold inside( we were at December), because condition didn't work.",3.8
58,12811,The Helmet Hotel,Location is relatively good and view from upper floors very nice; staff was responsive to claims on cleanliness.  No breakfast option offered.,"Cleanliness - lacking! Floor very dirty, hairs on the bed linen, tea cups also not clean, towels with yellow spots.  The pictures attached show a white towel after having been passed over the floor.",3.8
59,12914,The Helmet Hotel,,"The cleanliness inside the room is quite unsatisfied with the floor full of dust, the toilet so smelly and some.of the lamp already broken and don't replace. However,  the staff is good.",5.0
60,12034,The Helmet Hotel,They were quick to respond to request,"Hotel room provided to me was broken. Heating was broken. Shower, kettle and some furniture was broken.
Though they chaged the room on request, i found torn old beedsheets even in changed room.",6.0
61,12837,The Helmet Hotel,,"The cleanness and tidiness was zero, i stayed for three nights, I was given an upgraded room on the first night as the room i was given upon check in was not cleaned for ages,  and that upgrades  room was not cleaned at all on the third day, the bed was very comfortable and the administrator was professional ",4.2
62,12824,The Helmet Hotel,Comfy bed and helpful staff,Room smelled of cigarette smoke. TV did not work. WIFI terrible. Old and run down.,3.8
63,12704,The Helmet Hotel,Close to the station,Didnt feel safe around the station. Almost got pick pocketed.,9.6
64,12103,The Helmet Hotel,Netflix app built into the tv and a good wifi connection. The bed was clean and very comfortable.,The area the hotel is in isn't great. And you should bring earplugs because it's really easy to hear people walking through the corridors. The shower was ok when I could get the right temperature but it basically had a mind of its own!,7.0
65,12876,The Helmet Hotel,Only the location. It is near to Central so grand place is 25 minutes by walk,Not clean at all,5.0
66,12181,The Helmet Hotel,"It's just a small room with attached bathroom without any standard facilities like, telephone, iron, locker, fridge etc. No daily room cleaning",Location,5.8
67,12736,The Helmet Hotel,Floors was filthy. Cold room . Pillows cover smelly,,4.2
68,12040,The Helmet Hotel,The bed was excellent and the room was very quiet as it faced the rear courtyard,Nothing it was fine,7.0
69,12926,The Helmet Hotel,The location was good.,"The room wasnt cleas as it noted .
The bathroom had  very big window and it was prety cold .
You might freeze while making a shower.
",6.3
70,12580,The Helmet Hotel,Quiet place.,One window didnt close well. Then cold enter inside. room 423.,7.5
71,12068,The Helmet Hotel,,"The heater didn't work.
The room is a bit dusty",6.0
72,12047,The Helmet Hotel,It was a place to stay. the bed was comfortable.,"Tried to get a hold of the hotel several times, but no answer. Very expensive to take a taxi to and from the hotel to the airport. Was told the average cost would be 25 Euros, it was instead 40 going there and 50 coming back. Would not recommend the location for that reason.",7.0
73,12384,The Helmet Hotel,"Great value for money
 Room was of a decent size, clean and comfortable. ",Nothing really.,7.9
74,12492,The Helmet Hotel,The staff are accommodating. There are tram stations nearby and a lot of stores and restaurants around the area.,It's a bit far from the bus station.,8.0
75,12413,The Helmet Hotel,"the view was amazing we were in the 7th floor, there is a fresh buzz in the toilet :)",they did not refill the  coffee and the boiler was not that clean plus the location of the hotel itself is a a place you can call it poupler,9.0
76,12090,The Helmet Hotel,"Friendly, helpful staff; close to lots of shops, restaurants, and a laundromat; easy walk to Brussels Noord station or a tram ride to Brussels Centraal; clean, well maintained room; large shower stall",No hot water the first night and part of the next day; wi-fi wasn't very good in my room,7.0
77,18352,The Memlinc,,"The heater in the room didn't work, The bathtub is the tiniest full size bath tub I've ever seen. Parking is not included in the room fee (20$!)",6.0
78,18316,The Memlinc,Location,Poor/cheap design Ugly Bathroom,4.0
79,18366,The Memlinc,"Breakfast was good. Rooms very small dark, bathroom small and toilet very very small. No watch, no plastic bag for laundry.Closet contained for 2 people 5 hangers!!! Very low ceilings. Old hotel who should not keep the name 'Palace'. The price was Palace.Also Euro 20 /per night as KI supposed was included. In bedroom not enough lights. Bad experience, mnever again!",See hereabove!,5.0
80,18140,The Memlinc,"Location, helpful & friendly staff, restaurant",Breakfast and room comfort,8.0
81,18294,The Memlinc,"Hotel is situated very well, room was spacious and also nicely located.","Has seen better days (already 10 years ago), needs definitely renovation. (Almost injured my foot due to a broke tile in the bathroom) 
Staff in the seafood restaurant and rooftop was very friendly, rest of staff was medium. ",5.0
82,18372,The Memlinc,"Great location close to the beach, shops and restaurants. Clean rooms, renovated bathroom.","Breakfast is fine, but nothing extraordinary.",9.2
83,18327,The Memlinc,Unfriendly dismissive staff members. Room not ready at booked hour.,"Heaters on full blast, couldn't turn them off. Bad night.",4.0
84,18207,The Memlinc,Spectacular location in the heart of Knokke; The views from the rooftop bar are more then worth the trip. Beautiful hotel reflecting the grandeur of the past. I'm sure that after finalising the renovations this will once again be the place to stay in Knokke.  Excellent food and great atmosphere in the seafood restaurant. For fish and seafood lovers a must!,Bathrooms are very comfortable and up-to-date. AC is being installed in the rooms and further renovations are scheduled.,8.8
85,18236,The Memlinc,Great location and great food. Rooftopbar has a great view.,Would Be Nice if The room could Be a little cooler. No airconditioning unfortunatly.,8.3
86,18260,The Memlinc,Location and parking facilities,The rooms are very small,6.7
87,18192,The Memlinc,Nice restaurants inside the hotel and centrally located. 100m to the beach.,No aircon available and rooms can get very hot. There is no tea/coffee available in the rooms. Overpriced due to location but service not to highest standard. Many students in the summer helping in restaurants. Breakfast room cheaply decorated.,6.7
88,18158,The Memlinc,"Location, food","There was no airconditioning in the room, very poor for this kind of hotel.",7.0
89,18123,The Memlinc,"Ligging is perfect. Hotel zelf is wat verouderd, eten was heel lekker ! ",,8.0
90,18336,The Memlinc,Excellent location,Very old rooms with dated (and plain plastic) furniture. Dated halls with little light. The hotel needs some urgent refurbishment. Breakfast staff was nice.,4.0
91,235,AppartHotel Belle Vue,good hi-tech hotel with a private parking. We didn't have a chance to go to the restaurant at the hotel but as far as we could see it looks really nice.,,9.6
92,248,AppartHotel Belle Vue,"We found this hotel to be brilliant and staff excellent, we had an apartment, lovely and clean and good space, we eat at the restaurant, the food and service were excellent in every aspect, I made a new best friend, the cat out side. Thank-you ",Nothing,10.0
93,51,AppartHotel Belle Vue,Good Italian restaurant in the hotel.  Good level parking.,"La Louviere not a pretty place.  Entry to car park very narrow, through building.",9.2
94,105,AppartHotel Belle Vue,Helpful and responsive staff. Room was quite a big apartment. Nice private parking despite being inbthe middle of the city.,"Breakfast was a bit limited, not included in the not very cheap price of the room. Water took very long to heat up in the shower, maybe because room was on the top floor but this was rather wasteful.",7.5
95,213,AppartHotel Belle Vue,Excellent breakfast! Nice and confy rooms!,,10.0
96,165,AppartHotel Belle Vue,"Normal size room, clean, quiet (as on the back of the property). Eager to help receptionist, she explained calmly all the issues. The access to the room and main entrance is done with a code, should keep it with you if not memorize it.","The entrance to the parking is extremely narrow; I had some problems to avoid scratching the car. Personally I needed some guidance to go straight. So, not suitable for big cars.",6.0
97,93,AppartHotel Belle Vue,Nice food and excellent wine selection in the restaurant!,,9.2
98,18377,The Memlinc,The location,They did not prepare breakfast that they wrote they would do something in their mail.,5.4
99,18272,The Memlinc,"The location near to the beach, shoos and restaurants.
",,6.7
100,18248,The Memlinc,Location and nice restaurant.,At arrival welcome is quite cold.,7.5
101,18345,The Memlinc,"Big room with a large terrace overlooking the main square of Le Zoute and the sea. Centrally located. Great bar on the rooftop. Breakfast, within the current COVID-19 restrictions, was well organized and OK. We tried both restaurants, the Bistrot and the Seafood Restaurant. Both excellent. Not really cheap but hey, this is Le Zoute! Staff very friendly and helpful.",Nothing,10.0
102,18305,The Memlinc,Great Breakfast and the location is fantastic. Best Skybar ever. Nice view and good beds. xxxxxxxxxxxxxxxx,,10.0
103,18359,The Memlinc,Location,Dated facilities and cleanliness borderline,5.8
104,18107,The Memlinc,It was good despite Covid. Construction work on the front side but all was ok,N/a it was overall ok for a night and good value (covid time),7.0
105,19591,The Plaza Hotel Antwerp,,"The pictures of the room seam one thing when i  booked the room, but when i got on side it was very different from what i was expecting. The staff was very nice and friendly, they even change the room for another one",5.0
106,19195,The Plaza Hotel Antwerp,Stayed in a junior suite. Very spacious and the bed was comfortable.,Location is a bit of a walk to the central areas. Bar is not manned so you need to go out to reception to ask them to make you a drink.,9.0
107,19133,The Plaza Hotel Antwerp,Great parking facilities with EV charging and very smart and spacious suite.,Foyer and communal areas were average.,7.0
108,19347,The Plaza Hotel Antwerp,Everything,Not happy the amount I paid was not inclusive with breakfast,8.8
109,19642,The Plaza Hotel Antwerp,"Room very nice, excellent bed, reception good.","Don't take room 12, the floor above seems to have chairs being dragged around early in the morning, this spoilt any chance of a peaceful sleep in.",5.0
110,19574,The Plaza Hotel Antwerp,,"The floors in our room were dirty. Pillows are lumpy and uncomfortable. Bed is very hard, not comfortable. Light system is unpractical. Hairdryer has one setting only that is extremely hot. ",5.4
111,19540,The Plaza Hotel Antwerp,"Was clean and room very big, modern.
Receptionists speaks english fluently .","Breakfast area was conservative and staff not too friendly. 
",6.7
112,11134,Theater Hotel,Helpful staff when I wanted to add late checkout to the booking.,"The room was a little aged. All of the electrical fittings were yellowed from age, gave the place a bit of a cheap feel.. plus a loud hum from the electrical source when the halogen lights were on.",7.5
113,11517,Theater Hotel,"Comfortable room, great location, and a low price. People were very friendly.","Breakfast was basic, and could have a bit more variety. Elevator doors close extremely fast.",7.9
114,10901,Theater Hotel,Location is excellent. The room is very clean.,"It was strange, ticking sound in radiator an evening. Shower was difficult to get working. There is no carpet and they do not give slippers and bathrobe. I advise to take your own slippers if you do not want to walk on the floor by barefoot after shower.
The design of room is bit ""clinical"" but in general it was not disturbing for staying during weekend. ",7.0
115,10921,Theater Hotel,The breakfast far surpassed expectations with Covid restrictions. Room was large and spacious.,,9.0
116,11425,Theater Hotel,"Liked the firm bed, kettle was provided, mugs, wine glasses, fridge. Enjoyed access to the roof top balcony from my room (6th floor). The on-site restaurant serves delicious food (I was there for dinner).  It was great to have 2 types of eggs for breakfast and a variety of cold cuts and cheeses.","I didn't find it too bad, but my room was next to the elevator shaft which made noise at every hour day and night - that particular room location could be a problem for sensitive sleepers.",9.6
117,11248,Theater Hotel,"Very spacious room. Ours even had a balcony which was quite large and offered some good views. Friendly staff. While they don't have onsite parking, the public garage is very, close by. Reasonable breakfast.","Very, very dark room when first coming in at night. It took us a minute for our eyes to adjust so we could find where the other lamps were. We ended up leaving a light on while gone. Breakfast was a bit of a zoo. While we didn't have to wait, there was a line a dozen people deep when we left.",8.8
118,11544,Theater Hotel,Great location and friendly staff. Unfortunately doesnt make up for lying awake every night!,"This was the most unconfortable bed i have ever had. The matress was so old and worn out, the springs were sticking in your back at night. 
Also lots of noise. The walls are very thin and you can hear your neighbors talking, walking and making noises. Couldnt wait for our stay to be over.",5.8
119,11078,Theater Hotel,"It was ok but could be improved to match the 4 star rating.  Outdoor entrance and lobby interior appears kind  ""gloomy""and  on the """" dark side"""". Furniture has seen better days..  a more lively ristailing would help",Interior looks,7.0
120,11278,Theater Hotel,"Location, staff in general. Have been before, hence the reason to come back. ","Bar not open at lunch time. No food available at lunch time. Excuse given, its a holiday here!!!
My view is you are a hotel, we come here for a break or holiday. ",7.1
121,11062,Theater Hotel,The staff.,"No toilet brush in room. No extracter fan in bathroom.
",8.0
122,11357,Theater Hotel,"The hotel is very central and convenient, in a nice part of Antwerp. The room was generous, the bathroom roomy. There was lots of choice for breakfast.","The toilet was small, no extraction fan.",8.8
123,11417,Theater Hotel,"sleeping room really, street really quiet during the night. Unfortunatelly the air conditioning is old and noisy.","Location is perfect, quiet, central, near museims and good restaurants. The meir was about 5 min. per feet.",7.9
124,10941,Theater Hotel,"The location could not have been better, and the staff were fantastic.",The hotel needs updating as the decor was fairly dated and small details need a touch-up.,8.0
125,11233,Theater Hotel,"Good bed, good breakfast, good location, nice room. nice bathroom!",,7.9
126,13590,Thon Hotel Brussels Airport,Great breakfast!,The fact that the restaurant is closed on a Friday night and that parking is 18euro per night for a location that is most definitely not the center of Brussels,7.5
127,13539,Thon Hotel Brussels Airport,NATO HQ and Airport vicinity!,To much importance that the place asumes without nothing in exchange!,7.5
128,13449,Thon Hotel Brussels Airport,"The rooms are well insulated so no noise from aircraft taking off.  Rooms are basic but beds are comfortable, aircon and heating works well. Main plus point are the staff, they go out of their way to be helpful.  Arrived very late one night and although the restaurant was already closed they very kindly agreed to make me a sandwich and even brought it up to my room for me.  Thank you.","The rooms could do with updating, particularly the bathrooms.  A walk-in shower would be nice.",8.0
129,13645,Thon Hotel Brussels Airport,"For a  hotel which boasts of a restaurant and bar, when we requested for ice, were asked to come down n get it. When we went to collect we were told no.ice. that was pretty disappointing.",Better information and definitely better fruit n breakfast spread,6.3
130,13466,Thon Hotel Brussels Airport,"Breakfast was good, counter staff were also very well briefed.","The restaurant menu was quite limited. Prices were average. Due to the fact that it is in an industrial park, there is limited selection of other restaurants.",8.0
131,13728,Thon Hotel Brussels Airport,"Staff at reception and breakfast/ diner very friendly and competent, relaxing atmosphere . Room was ok, all we needed was there .","I missed the possibility to have a snack or light meal during lunchtime in the hotel, but the friendly lady at the reception could order something if we were interested, and in a 2 min. walking distance there was possibility to eat or buy a snack.",7.5
132,13805,Thon Hotel Brussels Airport,"Clean, comfortable, close to the airport, nice breakfast buffet, good WiFi connection, parking, easy to get find and get to",,9.6
133,13654,Thon Hotel Brussels Airport,10 min drive from the airpory with free shuttlebus,,7.9
134,13613,Thon Hotel Brussels Airport,"Comfortable beds, quiet and efficient air-conditioning, friendly and helpful staff.",Restaurant was closed all week for the holidays.  Shower bracket incorrectly fitted (room 419) meaning you had to hold it (inconvenient when you're washing your hair).  Terrible noise from slamming room doors (the soft close function had been disabled).,7.5
135,13432,Thon Hotel Brussels Airport,"Friendly, helpful staff.  Comfortable beds, good air-conditioning, good TV with wide range of channels.  Complementary water in fridge and hot drink making facilities.",Bathrooms need updating.  Narrow bath with shower curtain rather than walk-in shower.  Doors slamming late at night and early in the morning.  Infrequent shuttle service in the morning and over-filled at peak times (07:50am).,8.0
136,13565,Thon Hotel Brussels Airport,Responsive staff. Relocated to new room after issue.,Location little far from Brussels vs the price if room,7.1
137,13668,Thon Hotel Brussels Airport,Good location for those traveling by plane and need to have quick access to the airport. The hotel has a free shuttle service to the airport.,,7.5
138,13498,Thon Hotel Brussels Airport,,There was a machine making noise above my head. I Had no idea they were renovating. I got another room after I complained.,7.1
139,13635,Thon Hotel Brussels Airport,"Great location, didn't feel like a hostel as it was fairly quiet. ",The room needs painting. It's covered with splat marks from people squashing mosquitos.,6.7
140,13758,Thon Hotel Brussels Airport,I did not like anything about this hotel!,I didn't like the curt staff. I didn't like that the restaurant was NOT open when it was supposed to. I did not like that the room was cold and the heater did not work. I did not like that they said they would not credit back my card if I checked-out.,1.0
141,13743,Thon Hotel Brussels Airport,"Extra location, normal breakfast.",It was cold in the hotel. The room temperature could not be raised. Even the reception staff had runny nose due to the low inside temperature. The rooms should be repainted. The bathroom requires complete renovation. Carpets are dirty and old.,1.0
142,13679,Thon Hotel Brussels Airport,Friendly and efficient staff.  Comfortable rooms with large television and fast wifi.  Shuttle bus direct to the airport.  Good restaurant.,Bathrooms could do with updating.  Limited menu selection when staying regularly.  Shuttle bus is in-frequent.,8.3
143,13661,Thon Hotel Brussels Airport,,The rooms are a little on the small side.  The set of TV channels was pretty limited and only at certain times.,7.9
144,13789,Thon Hotel Brussels Airport,"B'fast had big choice and was clearly marked for alergens. New modern sound tight windows so no airline noise. Big new tv, kettle and coffee machine.","Room was very worn out, countless stains on horrible ""carpet"" (in such busy airport hotel why solid floor easy to wash only by the door?), stains on the walls and chair, hole in another chair. Bathroom very tired, black stains between tiles although it looked clean and tidy. Very clean bed sheets but found hair. Lots of noise all night long from the corridor.",5.8
145,13415,Thon Hotel Brussels Airport,Friendly staff and perfect location to go to the airport,,8.0
146,13602,Thon Hotel Brussels Airport,Staff were checking in people before me for too long,,7.5
147,13734,Thon Hotel Brussels City Centre,"Great breakfast, wonderful view, strategic location",Steady light noise from the ventilation system in the night,8.0
148,15702,Thon Hotel Brussels City Centre,It was ok,"Building site due to work going on around adjacent hotels, mini bus broken in to outside the hotel and high value property stolen ",6.3
149,15199,Thon Hotel Brussels City Centre,Perfect location. Great rooms. Nice staff. Thanks for everything,,10.0
150,16193,Thon Hotel Brussels City Centre,Nothing,They ask me to pay for a second time!,5.8
151,16135,Thon Hotel Brussels City Centre,Breakfast,"Small room, building under construction.  Breakfast is the best thing about this hotel, there were so many viriaties of nuts, raisons, freshly squeezed orange juice and much more, however there seems to be a problem with fruit flies, they were everywhere in the buffet area, even on food.  I think this issue should be taken seriously as its very unhygienic.  Hotel is clean.
We found it hard to move around in the room, due to its size.  It lacks lighting, no light above the mirror in the room. 
We stayed there one night and moved to another hotel near the station as we were leaving early, the other hotel was much cheaper but room was bigger, well lit and beautiful.  So very disappointed to have paid so much money for thon hotel.
",5.4
152,15348,Thon Hotel Brussels City Centre,I liked: 1.  the Reception staff Ridouane. He was  very friendly and welcoming. 2. Those who cleaned the room 2211,"The billing: I checked out in the morning and I was in a hurry to read the details of my receipt. While at the train station, I accessed my receipt and realised I was billed for city taxi twice which I never used;  breakfast was billed twice yet I had indicated I was to have breakfast once. Otherwise, the rest looked ok.",10.0
153,15945,Thon Hotel Brussels City Centre,"Very friendly staff, very good breakfast, fast check out, good Location (City Center, public transport).",,9.6
154,14446,Thon Hotel Brussels City Centre,"Very good hotel. close to Gare de Nord: 10 min walking. Near metro station and not fare away from City centre. Clean. Very expensive breakfast, but you can find good food in the lobby of the hotel (Grab and go).",Nothing,9.6
155,13982,Thon Hotel Brussels City Centre,"The breakfest was really exceptional, so many varieties of hight quality food and drinks. Nice atmosphere. Staff tried to be helpfull. The hotel is close to the public transportation stations - metro, bus, even railwaystation.","The equipment of the room did not fully correspond to the description. Especially  accessories in the bathroom corresponded more for 2star hotel. The towels, no bathfoam, only one shower gel in a big flask... The fasade  and surrounding of the hotel was under reconstrution.",7.0
156,15607,Thon Hotel Brussels City Centre,,I waited 30 minutes the elevator in the morning of Jan 25. This the 2nd time that that inconvenience happens in this hotel,6.7
